delta,trial,S_count,I_count,R_count,S_proportion,I_proportion,R_proportion,nnd_before_predator
2.5,11,5,26,9,0.125,0.65,0.225,5.808596807249846
2.5,16,15,18,7,0.375,0.45,0.175,7.0170834367497745
2.5,17,12,20,8,0.3,0.5,0.2,5.939338504017921
2.5,14,10,24,6,0.25,0.6,0.15,6.23019467049802
2.5,19,12,15,13,0.3,0.375,0.325,5.957072919415213
2.5,13,9,25,6,0.225,0.625,0.15,5.117694062320362
2.5,15,4,27,9,0.1,0.675,0.225,5.576942093081253
2.5,18,6,23,11,0.15,0.575,0.275,5.876160859241042
2.5,29,40,0,0,1.0,0.0,0.0,6.238699703525159
2.5,23,8,25,7,0.2,0.625,0.175,8.08411004665793
2.5,21,15,18,7,0.375,0.45,0.175,5.607874665073201
2.5,20,8,26,6,0.2,0.65,0.15,7.632116064463029
2.5,22,8,20,12,0.2,0.5,0.3,5.552637855449713
2.5,28,21,14,5,0.525,0.35,0.125,5.882056478855423
2.5,24,16,21,3,0.4,0.525,0.075,6.397569184798938
2.5,33,40,0,0,1.0,0.0,0.0,6.485884183492689
2.5,26,14,17,9,0.35,0.425,0.225,5.510991516206823
2.5,30,8,26,6,0.2,0.65,0.15,6.002542101848441
2.5,27,12,22,6,0.3,0.55,0.15,8.329055160636377
2.5,25,15,15,10,0.375,0.375,0.25,6.307993171599415
2.5,32,16,17,7,0.4,0.425,0.175,6.141423707242582
