delta,trial,S_count,I_count,R_count,S_proportion,I_proportion,R_proportion,nnd_before_predator
0.5,116,4,33,3,0.1,0.825,0.075,3.168584565535966
0.5,117,11,25,4,0.275,0.625,0.1,3.8140873643940565
0.5,121,6,31,3,0.15,0.775,0.075,3.555968014466397
0.5,120,6,29,5,0.15,0.725,0.125,3.2103417030045462
0.5,124,6,31,3,0.15,0.775,0.075,3.6078864972566507
0.5,123,3,35,2,0.075,0.875,0.05,4.057994049021064
0.5,122,12,27,1,0.3,0.675,0.025,6.222271142985238
0.5,125,10,25,5,0.25,0.625,0.125,3.9341913559022146
0.5,130,8,31,1,0.2,0.775,0.025,3.7258841069787394
0.5,126,14,24,2,0.35,0.6,0.05,3.29153196072237
0.5,128,5,33,2,0.125,0.825,0.05,3.830825866512522
0.5,131,10,29,1,0.25,0.725,0.025,3.750625342632927
0.5,127,7,30,3,0.175,0.75,0.075,3.3148933265233764
0.5,129,8,26,6,0.2,0.65,0.15,3.0297939897857553
0.5,135,4,33,3,0.1,0.825,0.075,3.28774832608583
0.5,132,3,32,5,0.075,0.8,0.125,3.5330631747325554
0.5,134,5,32,3,0.125,0.8,0.075,3.8133301713556604
0.5,133,4,34,2,0.1,0.85,0.05,3.485245650261079
0.5,137,6,32,2,0.15,0.8,0.05,3.446283953719481
0.5,142,8,30,2,0.2,0.75,0.05,3.8639474184021836
0.5,136,5,33,2,0.125,0.825,0.05,4.708162616709314
0.5,139,11,27,2,0.275,0.675,0.05,3.6458252638193995
0.5,140,5,32,3,0.125,0.8,0.075,3.149270238823986
0.5,141,5,30,5,0.125,0.75,0.125,6.868583011683148
0.5,138,2,34,4,0.05,0.85,0.1,3.5418235647238503
0.5,143,4,33,3,0.1,0.825,0.075,3.3311703890123923
0.5,153,40,0,0,1.0,0.0,0.0,3.3911067228467147
0.5,144,9,27,4,0.225,0.675,0.1,3.424157774204434
0.5,145,8,25,7,0.2,0.625,0.175,3.3293875389077625
0.5,146,11,23,6,0.275,0.575,0.15,3.6767414657466424
0.5,147,9,26,5,0.225,0.65,0.125,3.0255968092289613
0.5,149,6,28,6,0.15,0.7,0.15,3.4080259042651333
0.5,148,14,24,2,0.35,0.6,0.05,3.4626611291246263
0.5,152,7,30,3,0.175,0.75,0.075,3.624206858317476
0.5,155,5,33,2,0.125,0.825,0.05,3.711921043954085
0.5,151,3,37,0,0.075,0.925,0.0,3.7322290826845403
0.5,154,5,27,8,0.125,0.675,0.2,4.178225052354608
0.5,150,4,33,3,0.1,0.825,0.075,3.816383905791457
0.5,156,14,22,4,0.35,0.55,0.1,3.45359966840763
0.5,158,5,30,5,0.125,0.75,0.125,3.0878063170282806
0.5,157,5,34,1,0.125,0.85,0.025,3.7827710474772283
0.5,166,6,34,0,0.15,0.85,0.0,3.1340785207246116
0.5,160,7,30,3,0.175,0.75,0.075,3.5340530403132235
0.5,159,4,32,4,0.1,0.8,0.1,3.2569437951949753
0.5,165,6,32,2,0.15,0.8,0.05,3.392271251087564
0.5,161,3,33,4,0.075,0.825,0.1,4.109391785162865
0.5,162,3,32,5,0.075,0.8,0.125,2.871495666557722
0.5,164,5,33,2,0.125,0.825,0.05,3.207714564030541
0.5,163,9,27,4,0.225,0.675,0.1,3.4723249871763713
0.5,171,24,12,4,0.6,0.3,0.1,3.4356451424741126
0.5,168,6,27,7,0.15,0.675,0.175,3.6544855422040783
0.5,167,4,32,4,0.1,0.8,0.1,3.221278158336297
0.5,174,5,30,5,0.125,0.75,0.125,3.451307741508586
