"Trial","Event_raw","Event_trial","Response","Resp_Int","Initiator","Log_Init","When","Class","Dist_metric","Log_dist_metric","Dist_topological","Ang_area","Rank_area","Loom","Log_loom","Ang_pos","Heading"
"may-g1",7,7,0,11.19662874,236.0233226,2.37295492,"Before","Schreck",32.16711355,1.507412092,12,0.05969026,21,0.015707963,-1.803880123,2.812137921,1.329689891
"may-g1",7,7,0,19.72631571,236.0233226,2.37295492,"Before","Schreck",37.16595103,1.57014525,19,0.091106187,19,0.018849556,-1.724698877,2.488819256,2.726886705
"may-g1",7,7,0,39.70861373,236.0233226,2.37295492,"Before","Schreck",35.8260703,1.554199174,18,0,26,0.040840704,-1.388906775,2.163089089,2.955094791
"may-g1",7,7,0,15.71965621,236.0233226,2.37295492,"Before","Schreck",27.1059235,1.433064208,5,0.216769893,8,0.034557519,-1.461457442,1.70104536,2.111408834
"may-g1",7,7,0,8.606802463,236.0233226,2.37295492,"Before","Schreck",43.36973027,1.637186721,25,0.062831853,14,0.012566371,-1.900790136,2.879518897,1.971246471
"may-g1",7,7,0,24.46358967,236.0233226,2.37295492,"Before","Schreck",29.05436637,1.463211409,7,0,20,0,-1000,1.512161926,2.968264995
"may-g1",7,7,0,25.90046651,236.0233226,2.37295492,"Before","Schreck",21.91489448,1.340739384,1,0.116238928,17,0.009424778,-2.025728873,2.667268936,0.765494414
"may-g1",7,7,0,11.84870584,236.0233226,2.37295492,"Before","Schreck",46.92391243,1.671394216,30,0,20,0,-1000,2.617638892,0.271743558
"may-g1",7,7,0,21.12680748,236.0233226,2.37295492,"Before","Schreck",35.80534898,1.553947911,17,0.043982297,23,0.028274334,-1.548607618,2.884038563,1.21168043
"may-g1",7,7,0,11.47977739,236.0233226,2.37295492,"Before","Schreck",34.08412855,1.532552195,16,0.04712389,24,0,-1000,3.083086285,1.645987781
"may-g1",7,7,0,24.85155654,236.0233226,2.37295492,"Before","Schreck",46.12143228,1.663902786,29,0.078539816,16,0,-1000,2.458574968,1.958999519
"may-g1",7,7,0,50.32007121,236.0233226,2.37295492,"Before","Schreck",27.55434896,1.440190154,6,0.223053078,5,0.012566371,-1.900790136,1.499339625,1.885972624
"may-g1",7,7,0,13.29375908,236.0233226,2.37295492,"Before","Schreck",38.82396466,1.589099883,21,0.04712389,23,0.018849556,-1.724698877,3.105465149,1.235922391
